h,m_z (MC),m_z (Analytical),m_x (MC),m_x (Analytical),beta,Gamma
1.7763568394002505e-15,-0.00030514954393949864,-1.7761955537711229e-15,-1.0008655999999163,-0.9999092042625951,5.0,1.0
0.0500000000000016,-0.050008460286170224,-0.049933139107453665,-1.0003975999998833,-0.9986627821490413,5.0,1.0
0.10000000000000187,-0.10069232447191005,-0.09949512403793323,-0.9964199999999606,-0.9949512403793138,5.0,1.0
0.15000000000000213,-0.14797327458227807,-0.14832840976081269,-0.99205919999993,-0.9888560650720705,5.0,1.0
0.20000000000000195,-0.19609178687089623,-0.19610152766587738,-0.9830735999999778,-0.9805076383293774,5.0,1.0
0.2500000000000018,-0.24119174763098367,-0.2425194373050043,-0.9692208000000189,-0.9700777492200103,5.0,1.0
0.30000000000000204,-0.28442222354693913,-0.28733108755768544,-0.9611423999999862,-0.957770291858945,5.0,1.0
0.3500000000000023,-0.3300162110581319,-0.33033387745455656,-0.9461072000000392,-0.9438110784415841,5.0,1.0
0.40000000000000213,-0.3699089370281452,-0.37137506799866216,-0.9304184000000894,-0.9284376699966504,5.0,1.0
0.45000000000000195,-0.40898775248943886,-0.410350493885785,-0.9146512000001095,-0.9118899864128516,5.0,1.0
0.5000000000000022,-0.44894613524863114,-0.44720112226744735,-0.8970016000001704,-0.8944022445348907,5.0,1.0
0.5500000000000025,-0.4795191005961824,-0.4819080955663476,-0.8792792000001914,-0.8761965373933553,5.0,1.0
0.6000000000000023,-0.5136015714069443,-0.5144868898386966,-0.8573360000002364,-0.8574781497311578,5.0,1.0
0.6500000000000021,-0.5435024397677253,-0.5449811454181905,-0.8428224000002338,-0.8384325314125981,5.0,1.0
0.7000000000000024,-0.5732015230138819,-0.5734566125375149,-0.8209376000002868,-0.8192237321964471,5.0,1.0
0.7500000000000027,-0.5997470314386962,-0.5999955280328604,-0.8020048000002881,-0.7999940373771444,5.0,1.0
0.8000000000000025,-0.6256091052563364,-0.6246916197674789,-0.784127200000247,-0.7808645247093462,5.0,1.0
0.8500000000000023,-0.6475024995449339,-0.6476458347899899,-0.7651072000001394,-0.7619362762235155,5.0,1.0
0.9000000000000026,-0.6721119321173722,-0.6689628103103911,-0.7425792000001115,-0.7432920114559879,5.0,1.0
0.9500000000000028,-0.6916493781840336,-0.6887480532182176,-0.7252160000000136,-0.7249979507560165,5.0,1.0
1.0000000000000027,-0.7094205956003985,-0.7071057610384583,-0.7043327999999361,-0.7071057610384565,5.0,1.0
1.0500000000000025,-0.7237619410943864,-0.7241372006003062,-0.6933623999997528,-0.6896544767621946,5.0,1.0
1.1000000000000028,-0.7404646323117777,-0.7399395558191847,-0.6740631999996538,-0.6726723234719844,5.0,1.0
1.150000000000003,-0.7576867022869743,-0.7546051589096309,-0.6555735999994883,-0.6561783990518512,5.0,1.0
1.2000000000000028,-0.7711110529225609,-0.7682210268890313,-0.6403959999993711,-0.6401841890741913,5.0,1.0
1.2500000000000027,-0.779468446463221,-0.7808686350600028,-0.6280743999992497,-0.6246949080480009,5.0,1.0
1.300000000000003,-0.7901360977877929,-0.7926238696678268,-0.6129119999990761,-0.6097106689752501,5.0,1.0
1.3500000000000032,-0.8039885799080463,-0.8035571121046897,-0.5962903999988746,-0.5952274904479169,5.0,1.0
1.400000000000003,-0.8127548000918899,-0.8137334162997791,-0.5843047999987583,-0.581238154499841,5.0,1.0
1.4500000000000028,-0.8250444940959134,-0.8232127490246809,-0.5669503999985247,-0.5677329303618478,5.0,1.0
1.500000000000003,-0.8324975619950997,-0.8320502696874169,-0.5554623999983375,-0.5547001797916101,5.0,1.0
1.5500000000000034,-0.8396389894789139,-0.8402966318363004,-0.5448999999981252,-0.5421268592492249,5.0,1.0
1.6000000000000032,-0.8513560558967246,-0.8479982931614988,-0.5253023999978328,-0.5299989332259356,5.0,1.0
1.650000000000003,-0.8570431928841131,-0.8551978244104731,-0.5161271999978557,-0.5183017117639221,5.0,1.0
1.7000000000000033,-0.8650410956843059,-0.8619342104709524,-0.5011343999978959,-0.5070201238064417,5.0,1.0
1.7500000000000036,-0.870480988699721,-0.868243139061183,-0.49405439999790807,-0.49613893660638925,5.0,1.0
1.8000000000000034,-0.8696430896085309,-0.8741572741265107,-0.49584959999787626,-0.48564293007028286,5.0,1.0
1.8500000000000032,-0.8796234250095473,-0.8797065122811345,-0.4760183999979234,-0.47551703366547726,5.0,1.0
1.9000000000000035,-0.8853232551918122,-0.8849182215439997,-0.46791839999797935,-0.465746432391578,5.0,1.0
1.9500000000000037,-0.8941375499920972,-0.8898174622720602,-0.45059999999803324,-0.45631664731900434,5.0,1.0
2.0000000000000036,-0.8912958525293351,-0.8944271906520156,-0.45470879999801034,-0.447213595326007,5.0,1.0
