Gamma,m_z (MC),m_z (Analytical),m_x (MC),m_x (Analytical),beta,h
-0.9999999999999991,-0.44894613524863114,-0.44720112226744607,0.8970016000001704,0.8944022445348914,5.0,0.5
-0.9499999999999991,-0.4635100019961549,-0.4657261643565979,0.8861372631521737,0.8848797122775353,5.0,0.5
-0.899999999999999,-0.4839292945848621,-0.48561012187301195,0.8793119999937643,0.8740982193714206,5.0,0.5
-0.849999999999999,-0.5077748379100062,-0.5069672553216088,0.8677016470655047,0.861844334046734,5.0,0.5
-0.7999999999999989,-0.532440053252164,-0.5299141891022207,0.8489590000000001,0.8478627025635519,5.0,0.5
-0.7499999999999989,-0.5562085619498183,-0.5545651887228374,0.835750399997283,0.831847783084255,5.0,0.5
-0.6999999999999988,-0.5832715619798954,-0.5810247113655698,0.8135519999967548,0.8134345959117963,5.0,0.5
-0.6499999999999988,-0.6112169988430503,-0.6093761383734396,0.7925292307655353,0.79218897988547,5.0,0.5
-0.5999999999999988,-0.6403151903042076,-0.6396653479252635,0.7654226666674038,0.7675984175103147,5.0,0.5
-0.5499999999999987,-0.6731519279871219,-0.6718776399287026,0.7385265454567264,0.7390654039215712,5.0,0.5
-0.49999999999999867,-0.7087702611454568,-0.7059066725391852,0.7014847999967561,0.7059066725391833,5.0,0.5
-0.4499999999999986,-0.7405569209030922,-0.7415148296015548,0.6712568888853518,0.6673633466413973,5.0,0.5
-0.3999999999999986,-0.7796542714788781,-0.778286265087748,0.6232860000000001,0.6226290120701962,5.0,0.5
-0.34999999999999853,-0.815579239290877,-0.8155772587169758,0.5684114285727572,0.5709040811018807,5.0,0.5
-0.2999999999999985,-0.8518071445762365,-0.8524736922126595,0.5131626666676353,0.5114842153275931,5.0,0.5
-0.24999999999999845,-0.8864405275990072,-0.8877717594048498,0.444073600000946,0.4438858797024221,5.0,0.5
-0.1999999999999984,-0.9204049374609297,-0.9200031028151083,0.36418000000000006,0.3680012411260404,5.0,0.5
-0.14999999999999836,-0.9482624963034724,-0.9475250025451557,0.28115200000011165,0.2842575007635436,5.0,0.5
-0.09999999999999831,-0.9686934251574743,-0.9686848398645336,0.19612000000000007,0.19373696797290343,5.0,0.5
-0.04999999999999827,-0.9825614465204973,-0.9820438232971633,0.09689600000000037,0.09820438232971293,5.0,0.5
1.7763568394002505e-15,-0.987412,-0.9866142981514303,0.0,-3.5051581127427423e-15,5.0,0.5
0.0500000000000016,-0.9825614465204973,-0.9820438232971628,-0.09689599999999964,-0.09820438232971943,5.0,0.5
0.10000000000000187,-0.9686934251574743,-0.9686848398645325,-0.19611999999999993,-0.1937369679729101,5.0,0.5
0.15000000000000213,-0.9482624963034724,-0.9475250025451539,-0.2811520000001114,-0.2842575007635502,5.0,0.5
0.20000000000000195,-0.9204049374609297,-0.9200031028151062,-0.36417999999999995,-0.3680012411260461,5.0,0.5
0.2500000000000018,-0.8864405275990072,-0.8877717594048474,-0.4440736000009459,-0.4438858797024269,5.0,0.5
0.30000000000000204,-0.8518071445762365,-0.8524736922126568,-0.5131626666676353,-0.5114842153275976,5.0,0.5
0.3500000000000023,-0.815579239290877,-0.815577258716973,-0.5684114285727572,-0.5709040811018848,5.0,0.5
0.40000000000000213,-0.7796542714788781,-0.7782862650877453,-0.6232859999999999,-0.6226290120701996,5.0,0.5
0.45000000000000195,-0.7405569209030922,-0.7415148296015525,-0.6712568888853517,-0.6673633466414001,5.0,0.5
0.5000000000000022,-0.7087702611454568,-0.7059066725391827,-0.7014847999967561,-0.7059066725391858,5.0,0.5
0.5500000000000025,-0.6731519279871219,-0.6718776399287002,-0.7385265454567264,-0.7390654039215736,5.0,0.5
0.6000000000000023,-0.6403151903042076,-0.6396653479252613,-0.7654226666674038,-0.7675984175103165,5.0,0.5
0.6500000000000021,-0.6112169988430503,-0.6093761383734377,-0.7925292307655353,-0.7921889798854717,5.0,0.5
0.7000000000000024,-0.5832715619798954,-0.5810247113655679,-0.8135519999967548,-0.8134345959117978,5.0,0.5
0.7500000000000027,-0.5562085619498183,-0.5545651887228356,-0.8357503999972828,-0.8318477830842563,5.0,0.5
0.8000000000000025,-0.532440053252164,-0.5299141891022189,-0.8489589999999999,-0.8478627025635529,5.0,0.5
0.8500000000000023,-0.5077748379100062,-0.5069672553216074,-0.8677016470655047,-0.8618443340467348,5.0,0.5
0.9000000000000026,-0.4839292945848621,-0.4856101218730105,-0.8793119999937643,-0.8740982193714214,5.0,0.5
0.9500000000000028,-0.4635100019961549,-0.46572616435659636,-0.8861372631521737,-0.8848797122775358,5.0,0.5
1.0000000000000027,-0.44894613524863114,-0.4472011222674448,-0.8970016000001704,-0.894402244534892,5.0,0.5
1.0500000000000025,-0.430749358964432,-0.42992592951027514,-0.9019725714231712,-0.9028444519715798,5.0,0.5
1.1000000000000028,-0.4119353264692035,-0.4137982645697979,-0.9101250909093944,-0.9103561820535576,5.0,0.5
1.150000000000003,-0.40110521503600965,-0.39872325594169244,-0.9154135652154475,-0.9170634886658949,5.0,0.5
1.2000000000000028,-0.38458943336978774,-0.3846136459043854,-0.9254880000003063,-0.9230727501705271,5.0,0.5
1.2500000000000027,-0.3704653256697976,-0.3713896195561223,-0.929804800007176,-0.9284740488903078,5.0,0.5
1.300000000000003,-0.35712030283526264,-0.3589784379862212,-0.9379526153779129,-0.9333439387641772,5.0,0.5
1.3500000000000032,-0.3444138343094156,-0.3473139671626219,-0.9409534814749895,-0.9377477113390815,5.0,0.5
1.400000000000003,-0.3341704012943049,-0.336336161735992,-0.9450600000000574,-0.9417412528607797,5.0,0.5
1.4500000000000028,-0.3218899438326611,-0.32599054105822245,-0.9502957241392453,-0.945372569068847,5.0,0.5
1.500000000000003,-0.31311359291597557,-0.31622768006973356,-0.9542218666609091,-0.9486830402092027,5.0,0.5
1.5500000000000034,-0.30651626549632466,-0.3070027280384192,-0.9527236129057799,-0.9517084569191017,5.0,0.5
1.6000000000000032,-0.29276759148537934,-0.2982749618359202,-0.9591059999999999,-0.9544798778749467,5.0,0.5
1.650000000000003,-0.28870190941786733,-0.2900073764119056,-0.9590681212167275,-0.9570243421592902,5.0,0.5
1.7000000000000033,-0.2794140591331267,-0.28216631262006053,-0.96479011765437,-0.9593654629082076,5.0,0.5
1.7500000000000036,-0.2734954850582051,-0.2747211210481251,-0.9646523428501869,-0.96152392366844,5.0,0.5
1.8000000000000034,-0.2654856055813409,-0.2676438596623016,-0.9643119999999332,-0.9635178947842875,5.0,0.5
1.8500000000000032,-0.2609132428734317,-0.26090902266078186,-0.9676428108043366,-0.9653633838448944,5.0,0.5
1.9000000000000035,-0.25344310533000564,-0.2544932977862521,-0.9693119999937414,-0.9670745315877598,5.0,0.5
1.9500000000000037,-0.2472709480056101,-0.24837534936937833,-0.967541743583766,-0.9686638625405773,5.0,0.5
2.0000000000000036,-0.24292388460417202,-0.24253562449608174,-0.970819199999226,-0.9701424979843287,5.0,0.5
